slug,issue,severity,before,after,fixed
business-days-calculator,触摸目标<44px(按钮/输入),high,tab-btn 37px/btn 40px/quick-btn 29px,全部≥44px,yes
business-days-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
business-days-calculator,正文字号<14px,high,lang-switch/nav-back 13.6px,14px,yes
business-days-calculator,首屏主按钮不可见,medium,按钮top=1057px,结构性问题(hero+tab+输入区前置),no
sunrise-sunset-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
sunrise-sunset-calculator,触摸目标<44px(输入),high,input 38px,44px,yes
sunrise-sunset-calculator,正文字号<14px,high,label 13.6px,14px,yes
tax-calculator,正文字号<14px,high,footer div/a 13px,14px,yes
business-day-calculator,触摸目标<44px,high,tab-btn 36px/btn 42px/checkbox 13px,全部≥44px,yes
business-day-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
business-day-calculator,正文字号<14px,high,label 13.6px,14px,yes
tax-refund-calculator,触摸目标<44px,high,input 39px/btn 38px,44px,yes
tax-refund-calculator,输入框字号<16px,high,0.95rem(15.2px),16px,yes
tax-refund-calculator,正文字号<14px,high,btn 13.6px/footer 13px,14px,yes
bpm-tapper,触摸目标<44px,high,btn 38px,44px,yes
bpm-tapper,输入框字号<16px,high,0.9rem(14.4px),16px,yes
bpm-tapper,正文字号<14px,high,info-text 13.6px,14px,yes
bpm-tapper,首屏主按钮不可见,medium,按钮top=1036px,结构性问题,no
mouse-tester,触摸目标<44px,high,btn 38px,44px,yes
mouse-tester,正文字号<14px,high,key 12.8px/log-area 12px,14px,yes
mouse-tester,首屏主按钮不可见,medium,按钮top=1730px,结构性问题,no
checksum-calculator,触摸目标<44px,high,复制按钮 23px,44px,yes
checksum-calculator,输入框字号<16px,high,0.85rem(13.6px),16px,yes
checksum-calculator,正文字号<14px,high,seo-content 13.6px,14px,yes
checksum-calculator,首屏主按钮不可见,medium,按钮top=1241px,结构性问题,no
file-hash-checker,触摸目标<44px,high,checkbox 16px,44px,yes
file-hash-checker,输入框字号<16px,high,0.85rem(13.6px),16px,yes
file-hash-checker,正文字号<14px,high,hint 13.6px,14px,yes
file-hash-checker,首屏主按钮不可见,medium,按钮top=891px,结构性问题,no
battery-capacity-tester,触摸目标<44px,high,tab-btn 36px/input 38px,44px,yes
battery-capacity-tester,输入框字号<16px,high,0.85rem/0.9rem,16px,yes
battery-capacity-tester,正文字号<14px,high,unit 12px/label 13.6px,14px,yes
battery-capacity-tester,首屏主按钮不可见,medium,按钮top=770px,结构性问题,no
reaction-test,触摸目标<44px,high,btn 37px,44px,yes
reaction-test,正文字号<14px,high,stat-label 12.8px,14px,yes
reaction-test,首屏主按钮不可见,medium,按钮top=918px,结构性问题,no
speed-test,触摸目标<44px,high,btn 41px,44px,yes
speed-test,正文字号<14px,high,result-unit 12.8px,14px,yes
whats-my-ip,触摸目标<44px,high,copy-btn 39px/retry-btn 32px,44px,yes
whats-my-ip,正文字号<14px,high,ip-label 13.6px/info-label 12px,14px,yes
whats-my-ip,首屏主按钮不可见,medium,无主按钮(自动检测),结构性问题,no
pow-captcha,触摸目标<44px,high,btn 38px,44px,yes
pow-captcha,输入框字号<16px,high,0.85rem(13.6px),16px,yes
pow-captcha,正文字号<14px,high,span 12px/13.6px,14px,yes
signature-generator,触摸目标<44px,high,tab-btn 37px/checkbox 16px,44px,yes
signature-generator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
signature-generator,正文字号<14px,high,label 12.8px/span 12.8px,14px,yes
signature-generator,首屏主按钮不可见,medium,按钮top=887px,结构性问题,no
heat-index-calculator,横向滚动,high,sw=398px(EN),sw=375px,yes
heat-index-calculator,触摸目标<44px,high,btn 31px,44px,yes
heat-index-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
heat-index-calculator,正文字号<14px,high,result-secondary 13.3px/warning-box 12.6px,14px,yes
mac-address-lookup,触摸目标<44px,high,btn 34px,44px,yes
mac-address-lookup,正文字号<14px,high,quick-chip 12.8px,14px,yes
mac-address-lookup,首屏主按钮不可见,medium,按钮top=705px,结构性问题,no
speaker-test,触摸目标<44px,high,btn 39px,44px,yes
speaker-test,正文字号<14px,high,privacy-note 13.6px,14px,yes
timesheet-calculator,触摸目标<44px,high,input 38px/btn 43px,44px,yes
timesheet-calculator,输入框字号<16px,high,0.9rem/0.85rem,16px,yes
timesheet-calculator,正文字号<14px,high,label 12px/btn 11.2px,14px,yes
timesheet-calculator,首屏主按钮不可见,medium,按钮top=917px,结构性问题,no
midi-player,触摸目标<44px,high,btn 38px/select 31px,44px,yes
midi-player,输入框字号<16px,high,0.9rem(14.4px),16px,yes
midi-player,正文字号<14px,high,label 13.6px,14px,yes
midi-player,首屏主按钮不可见,medium,按钮top=832px,结构性问题,no
graphing-calculator,横向滚动,high,sw=402px(CN),sw=375px,yes
graphing-calculator,触摸目标<44px,high,函数按钮 25px/btn 41px,44px,yes
graphing-calculator,输入框字号<16px,high,0.9rem(14.4px),16px,yes
graphing-calculator,正文字号<14px,high,函数按钮 12.8px/coord 12.8px,14px,yes
paycheck-calculator,横向滚动,high,sw=566px(CN),sw=375px,yes
